2025-10-30,GameCube,Luigi's Mansion,Nintendo
2025-12-11,GameCube,Wario World,Nintendo
2026-01-09,GameCube,Fire Emblem: Path of Radiance,Nintendo
,GameCube,Pokémon Colosseum,Nintendo
,GameCube,Pokémon XD: Gale of Darkness,Nintendo
,GameCube,Super Mario Sunshine,Nintendo
,Virtual Boy,3D Tetris,Nintendo
,Virtual Boy,Galactic Pinball,Nintendo
,Virtual Boy,Golf,Nintendo
,Virtual Boy,Innsmouth no Yakata,I'MAX
,Virtual Boy,Jack Bros.,Atlus
,Virtual Boy,Mario Clash,Nintendo
,Virtual Boy,Mario's Tennis,Nintendo
,Virtual Boy,Red Alarm,Nintendo
,Virtual Boy,Space Invaders Virtual Collection,Taito
,Virtual Boy,Teleroboxer,Nintendo
,Virtual Boy,V-Tetris,The Tetris Company
,Virtual Boy,Vertical Force,Nintendo
,Virtual Boy,Virtual Bowling,Hamster Corporation
,Virtual Boy,Virtual Boy Wario Land,Nintendo
,Virtual Boy,Virtual Fishing,Marvelous
